  0.00000000E+00 -0.14547554E+02
  0.10969445E-01 -0.14547609E+02
  0.21938891E-01 -0.14547834E+02
  0.32908336E-01 -0.14548103E+02
  0.43877781E-01 -0.14548240E+02
  0.54847226E-01 -0.14548063E+02
  0.65816672E-01 -0.14547436E+02
  0.76786117E-01 -0.14546293E+02
  0.87755562E-01 -0.14544656E+02
  0.98725008E-01 -0.14542610E+02
  0.10969445E+00 -0.14540270E+02
  0.12066390E+00 -0.14537741E+02
  0.13163334E+00 -0.14535094E+02
  0.14260279E+00 -0.14532353E+02
  0.15357223E+00 -0.14529501E+02
  0.16454168E+00 -0.14526492E+02
  0.17551112E+00 -0.14523256E+02
  0.18648057E+00 -0.14519693E+02
  0.19745002E+00 -0.14515685E+02
  0.20841946E+00 -0.14511117E+02
  0.21938891E+00 -0.14505919E+02
  0.23035835E+00 -0.14500123E+02
  0.24132780E+00 -0.14493887E+02
  0.25229724E+00 -0.14487473E+02
  0.26326669E+00 -0.14481161E+02
  0.27423613E+00 -0.14475126E+02
  0.28520558E+00 -0.14469342E+02
  0.29617502E+00 -0.14463580E+02
  0.30714447E+00 -0.14457523E+02
  0.31811391E+00 -0.14450999E+02
  0.32908336E+00 -0.14444233E+02
  0.34005280E+00 -0.14438006E+02
  0.35102225E+00 -0.14433621E+02
  0.36199169E+00 -0.14432646E+02
  0.37296114E+00 -0.14436497E+02
  0.38393058E+00 -0.14445991E+02
  0.39490003E+00 -0.14461032E+02
  0.40586948E+00 -0.14480553E+02
  0.41683892E+00 -0.14502734E+02
  0.42780837E+00 -0.14525433E+02
  0.43877781E+00 -0.14546692E+02
  0.44974726E+00 -0.14565152E+02
  0.46071670E+00 -0.14580283E+02
  0.47168615E+00 -0.14592381E+02
  0.48265559E+00 -0.14602387E+02
  0.49362504E+00 -0.14611602E+02
  0.50459448E+00 -0.14621386E+02
  0.51556393E+00 -0.14632911E+02
  0.52653337E+00 -0.14646978E+02
  0.53750282E+00 -0.14663906E+02
  0.54847226E+00 -0.14683477E+02
  0.55944171E+00 -0.14704954E+02
  0.57041115E+00 -0.14727159E+02
