GAMMA                           1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
K                             121         1.3163334334      0.3333330000      0.3333330000      0.0000000000
M                             181         1.9745001501      0.5000000000      0.0000000000      0.0000000000
GAMMA                         285         3.1144794920      0.0000000000      0.0000000000      0.0000000000
