    81BSE eigenvalue    3.20283828      IP-eigenvalue:    3.53829138
    82BSE eigenvalue    3.20283828      IP-eigenvalue:    3.53829138
    83BSE eigenvalue    3.20323599      IP-eigenvalue:    3.53829138
    84BSE eigenvalue    3.20461866      IP-eigenvalue:    3.53829138
    85BSE eigenvalue    3.21394782      IP-eigenvalue:    3.53829138
    86BSE eigenvalue    3.21769517      IP-eigenvalue:    3.53829138
    87BSE eigenvalue    3.21769517      IP-eigenvalue:    3.53867507
    88BSE eigenvalue    3.22095247      IP-eigenvalue:    3.53867507
    89BSE eigenvalue    3.22414343      IP-eigenvalue:    3.53867507
    90BSE eigenvalue    3.23063167      IP-eigenvalue:    3.53867507
    91BSE eigenvalue    3.24064047      IP-eigenvalue:    3.53867507
    92BSE eigenvalue    3.24064047      IP-eigenvalue:    3.53867507
    93BSE eigenvalue    3.24484654      IP-eigenvalue:    3.54049773
    94BSE eigenvalue    3.24517835      IP-eigenvalue:    3.54049773
    95BSE eigenvalue    3.24517836      IP-eigenvalue:    3.54049773
    96BSE eigenvalue    3.24823681      IP-eigenvalue:    3.54049773
    97BSE eigenvalue    3.25451155      IP-eigenvalue:    3.54049773
    98BSE eigenvalue    3.25451155      IP-eigenvalue:    3.54049773
    99BSE eigenvalue    3.26354167      IP-eigenvalue:    3.54049773
   100BSE eigenvalue    3.26354167      IP-eigenvalue:    3.54049773
